num,year,url,height
26,2007,images/2007/12/30/nyregion/30shoot.span.jpg,325
26,2007,images/2007/12/30/world/30kenya2_337.jpg,250
26,2007,images/2007/12/09/world/09kosovo.600.jpg,330
26,2007,images/2007/09/16/us/17protest.xlarge1.jpg,350
1,2007,images/2007/07/17/world/17odell.600.jpg,280
39,2008,images/2008/12/09/world/greece_span.jpg,350
39,2008,images/2008/12/05/world/05mideast_337.jpg,220
5,2008,images/2008/10/28/business/28adco-inline1-650.jpg,496
5,2008,images/2008/10/16/theater/woy2650.jpg,433
5,2008,images/2008/09/28/nyregion/28toywe.large.jpg,513
5,2008,images/2008/02/27/magazine/02sex.2-650.jpg,805
45,2009,images/2009/12/15/us/15pittsburgh_CA0/articleLarge.jpg,330
45,2009,images/2009/11/25/business/25vancouver_CA0/popup.jpg,433
45,2009,images/2009/10/26/world/26mexico_CA0-span/articleLarge.jpg,353
7,2009,images/2009/10/02/arts/02grou_650.jpg,494
45,2009,images/2009/10/01/fashion/01codes-500.jpg,500
7,2009,images/2009/10/01/arts/02group_337.jpg,240
45,2009,images/2009/09/23/world/honduras.337.1.jpg,250
7,2009,images/2009/08/23/nyregion/23rubble_337.jpg,240
7,2009,images/2009/01/11/world/11mexico.3371.jpg,240
43,2010,images/2010/10/07/nyregion/YALE1/YALE1-articleLarge.jpg,315
43,2010,images/2010/10/03/arts/BUDRUS-SPAN/BUDRUS-SPAN-articleLarge.jpg,335
13,2010,images/2010/09/21/world/21gender_337-span/GENDER-articleLarge.jpg,350
13,2010,images/2010/05/24/us/24ARKANSAS01_span/JP-ARKANSAS-1-articleLarge.jpg,350
106,2011,images/2011/12/21/world/EGYPT/EGYPT-articleLarge.jpg,360
106,2011,images/2011/12/19/world/19egypt3/19egypt3-articleLarge.jpg,347
106,2011,images/2011/12/18/world/egypt1/egypt1-articleLarge.jpg,330
106,2011,images/2011/12/06/world/europe/MOSCOW-REFER/MOSCOW-REFER-articleLarge.jpg,330
106,2011,images/2011/12/05/us/sub-occupy/sub-occupy-articleLarge.jpg,370
8,2011,images/2011/05/23/us/SWAT-2/SWAT-2-articleLarge.jpg,360
12,2012,images/2012/07/27/arts/27STREET_SPAN/27STREET_SPAN-articleLarge.jpg,417
12,2012,images/2012/06/06/arts/06knights/06knights-articleLarge.jpg,387
